step,bid,ask,mid,spread,scenario,timestamp
0,0.0,0.0,0,0.0,mini_flash_crash,1768730938.96375
1,999.9,1000.1,1000.0,0.20000000000004547,mini_flash_crash,1768730938.9711528
2,999.9,1000.09,999.995,0.19000000000005457,mini_flash_crash,1768730938.9735308
3,1000.0,1000.09,1000.0450000000001,0.09000000000003183,mini_flash_crash,1768730938.974126
4,1000.0,1000.09,1000.0450000000001,0.09000000000003183,mini_flash_crash,1768730938.974675
5,999.3,1000.09,999.6949999999999,0.7900000000000773,mini_flash_crash,1768730938.975115
6,999.3,1000.09,999.6949999999999,0.7900000000000773,mini_flash_crash,1768730938.975654
7,999.2,1000.09,999.645,0.8899999999999864,mini_flash_crash,1768730938.976117
8,999.0,1000.09,999.5450000000001,1.0900000000000318,mini_flash_crash,1768730938.9765
9,999.2,999.9,999.55,0.6999999999999318,mini_flash_crash,1768730938.976884
10,999.4,999.7,999.55,0.3000000000000682,mini_flash_crash,1768730938.97724
11,999.5,999.9,999.7,0.39999999999997726,mini_flash_crash,1768730938.977615
12,999.6,999.8,999.7,0.1999999999999318,mini_flash_crash,1768730938.977993
13,999.5,1000.09,999.7950000000001,0.5900000000000318,mini_flash_crash,1768730938.978327
14,999.7,999.9,999.8,0.1999999999999318,mini_flash_crash,1768730938.9786592
15,999.8,1000.09,999.9449999999999,0.2900000000000773,mini_flash_crash,1768730938.979018
16,999.8,1000.0,999.9,0.20000000000004547,mini_flash_crash,1768730938.9794
17,999.8,1000.09,999.9449999999999,0.2900000000000773,mini_flash_crash,1768730938.97981
18,999.2,1000.09,999.645,0.8899999999999864,mini_flash_crash,1768730938.980166
19,999.5,999.8,999.65,0.2999999999999545,mini_flash_crash,1768730938.9805381
20,998.8,1000.09,999.4449999999999,1.2900000000000773,mini_flash_crash,1768730938.9808562
21,999.3,999.5,999.4,0.20000000000004547,mini_flash_crash,1768730938.981302
22,998.6,1000.09,999.345,1.490000000000009,mini_flash_crash,1768730938.981764
23,998.6,1000.09,999.345,1.490000000000009,mini_flash_crash,1768730938.98223
24,998.5,1000.09,999.2950000000001,1.5900000000000318,mini_flash_crash,1768730938.982625
25,998.7,999.9,999.3,1.1999999999999318,mini_flash_crash,1768730938.9831831
26,998.8,999.8,999.3,1.0,mini_flash_crash,1768730938.983514
27,999.3,1000.0,999.65,0.7000000000000455,mini_flash_crash,1768730938.983904
