offset,result,steps,price
0.35,SUCCESS,1,999.99
0.4,SUCCESS,3,999.99
0.45,SUCCESS,1,999.99
0.5,SUCCESS,0,999.99
0.75,SUCCESS,3,999.99
1.0,SUCCESS,0,999.89
0.35,SUCCESS,0,999.89
0.4,SUCCESS,0,999.89
0.45,TIMEOUT,51,
0.5,SUCCESS,1,999.99
0.75,SUCCESS,0,999.99
1.0,SUCCESS,6,999.99
0.35,SUCCESS,0,999.99
0.4,SUCCESS,0,999.99
0.45,SUCCESS,0,999.99
0.5,SUCCESS,3,999.99
0.75,SUCCESS,3,999.99
1.0,SUCCESS,1,999.99
0.35,SUCCESS,0,999.99
0.4,SUCCESS,0,999.99
0.45,SUCCESS,3,999.99
0.5,SUCCESS,0,999.99
0.75,SUCCESS,1,999.99
1.0,SUCCESS,0,999.99
0.35,SUCCESS,1,999.69
0.4,SUCCESS,2,999.69
0.45,SUCCESS,0,999.49
0.5,SUCCESS,3,999.49
0.75,SUCCESS,3,999.49
1.0,SUCCESS,4,999.49
0.35,SUCCESS,0,999.49
0.4,SUCCESS,1,999.49
0.45,SUCCESS,0,999.49
0.5,SUCCESS,1,999.49
0.75,SUCCESS,2,999.49
1.0,SUCCESS,0,999.49
0.35,SUCCESS,1,999.49
0.4,SUCCESS,0,999.49
0.45,SUCCESS,1,999.39
0.5,SUCCESS,0,999.29
0.75,SUCCESS,1,999.29
1.0,SUCCESS,3,999.29
0.35,SUCCESS,2,999.29
0.4,SUCCESS,0,999.29
0.45,SUCCESS,0,999.29
0.5,SUCCESS,1,999.29
0.75,SUCCESS,0,999.29
1.0,SUCCESS,1,999.29
0.35,SUCCESS,1,999.29
0.4,SUCCESS,2,999.29
0.45,TIMEOUT,51,
0.5,SUCCESS,1,999.49
0.75,SUCCESS,1,999.49
1.0,SUCCESS,2,999.49
0.35,SUCCESS,2,999.49
0.4,SUCCESS,0,999.49
0.45,SUCCESS,0,999.49
0.5,SUCCESS,0,999.49
0.75,SUCCESS,2,999.49
1.0,SUCCESS,1,999.49
0.35,TIMEOUT,51,
0.4,SUCCESS,3,1000.19
0.45,SUCCESS,5,1000.19
0.5,SUCCESS,0,1000.19
0.75,TIMEOUT,51,
1.0,SUCCESS,2,1000.49
0.35,SUCCESS,2,1000.49
0.4,SUCCESS,1,1000.49
0.45,SUCCESS,1,1000.49
0.5,SUCCESS,0,1000.49
0.75,SUCCESS,1,1000.49
1.0,SUCCESS,0,1000.49
0.35,SUCCESS,2,1000.49
0.4,SUCCESS,3,1000.49
0.45,SUCCESS,0,1000.49
0.5,SUCCESS,0,1000.49
0.75,TIMEOUT,51,
1.0,SUCCESS,1,1000.59
0.35,SUCCESS,2,1000.59
0.4,SUCCESS,0,1000.59
0.45,SUCCESS,1,1000.59
0.5,SUCCESS,0,1000.59
0.75,TIMEOUT,51,
1.0,SUCCESS,0,1000.69
0.35,SUCCESS,1,1000.69
0.4,SUCCESS,1,1000.69
0.45,SUCCESS,1,1000.69
0.5,SUCCESS,0,1000.69
0.75,SUCCESS,1,1000.69
1.0,SUCCESS,1,1000.69
0.35,SUCCESS,0,1000.69
0.4,SUCCESS,0,1000.69
0.45,SUCCESS,1,1000.69
0.5,SUCCESS,2,1000.69
0.75,SUCCESS,1,1000.69
1.0,SUCCESS,0,1000.69
0.35,SUCCESS,3,1000.69
0.4,SUCCESS,2,1000.69
0.45,SUCCESS,0,1000.69
0.5,SUCCESS,0,1000.69
0.75,SUCCESS,0,1000.69
1.0,SUCCESS,2,1000.69
0.35,SUCCESS,0,1000.69
0.4,SUCCESS,1,1000.69
0.45,SUCCESS,6,1000.69
0.5,SUCCESS,5,1000.49
0.75,TIMEOUT,51,
1.0,SUCCESS,1,1000.69
0.35,SUCCESS,2,1000.69
0.4,SUCCESS,2,1000.69
0.45,SUCCESS,5,1000.69
0.5,SUCCESS,0,1000.69
0.75,SUCCESS,3,1000.69
1.0,SUCCESS,0,1000.69
0.35,SUCCESS,1,1000.69
0.4,SUCCESS,0,1000.69
0.45,SUCCESS,0,1000.69
0.5,SUCCESS,0,1000.19
0.75,SUCCESS,2,1000.49
1.0,SUCCESS,1,1000.49
0.35,TIMEOUT,51,
0.4,SUCCESS,0,1000.59
0.45,SUCCESS,0,1000.59
0.5,SUCCESS,4,1000.59
0.75,SUCCESS,0,1000.59
1.0,TIMEOUT,51,
0.35,SUCCESS,1,1000.79
0.4,SUCCESS,1,1000.79
0.45,SUCCESS,3,1000.79
0.5,SUCCESS,0,1000.79
0.75,SUCCESS,0,1000.79
1.0,TIMEOUT,51,
0.35,SUCCESS,0,1000.99
0.4,SUCCESS,0,1000.99
0.45,SUCCESS,1,1000.99
0.5,SUCCESS,0,1000.99
0.75,SUCCESS,0,1000.99
1.0,SUCCESS,0,1000.99
0.35,TIMEOUT,51,
0.4,SUCCESS,1,1001.39
0.45,SUCCESS,7,1001.39
0.5,SUCCESS,1,1001.39
0.75,SUCCESS,2,1001.39
1.0,SUCCESS,1,1001.39
0.35,TIMEOUT,51,
0.4,SUCCESS,1,1001.59
0.45,SUCCESS,2,1001.59
0.5,SUCCESS,0,1001.59
0.75,SUCCESS,6,1001.59
1.0,SUCCESS,3,1001.59
0.35,SUCCESS,0,1001.59
0.4,SUCCESS,6,1001.59
0.45,SUCCESS,5,1001.59
0.5,SUCCESS,0,1001.59
0.75,SUCCESS,2,1001.59
1.0,TIMEOUT,51,
0.35,SUCCESS,0,1001.99
0.4,SUCCESS,2,1001.99
0.45,SUCCESS,0,1001.99
0.5,SUCCESS,0,1001.99
0.75,SUCCESS,6,1001.99
1.0,SUCCESS,0,1001.99
0.35,SUCCESS,0,1001.99
