offset,result,steps,price
0.0,SUCCESS,1,999.9
0.01,SUCCESS,1,999.81
0.05,SUCCESS,2,999.75
0.1,SUCCESS,1,999.79
0.12,SUCCESS,1,999.79
0.25,SUCCESS,0,999.79
0.0,SUCCESS,0,999.6
0.01,SUCCESS,1,999.51
0.05,SUCCESS,3,999.55
0.1,SUCCESS,0,999.49
0.12,SUCCESS,1,999.49
0.25,SUCCESS,5,999.49
0.0,SUCCESS,3,999.4
0.01,SUCCESS,2,999.41
0.05,SUCCESS,1,999.45
0.1,SUCCESS,1,999.49
0.12,SUCCESS,1,999.49
0.25,SUCCESS,2,999.49
0.0,SUCCESS,5,999.4
0.01,SUCCESS,0,999.41
0.05,SUCCESS,1,999.45
0.1,SUCCESS,0,999.49
0.12,SUCCESS,0,999.49
0.25,SUCCESS,0,999.49
0.0,SUCCESS,7,999.4
0.01,SUCCESS,3,999.41
0.05,SUCCESS,1,999.45
0.1,SUCCESS,1,999.49
0.12,SUCCESS,0,999.49
0.25,SUCCESS,3,999.49
0.0,SUCCESS,9,999.4
0.01,SUCCESS,2,999.41
0.05,SUCCESS,0,999.45
0.1,SUCCESS,0,999.49
0.12,SUCCESS,0,999.49
0.25,SUCCESS,0,999.49
0.0,SUCCESS,15,999.4
0.01,SUCCESS,0,999.41
0.05,SUCCESS,1,999.45
0.1,SUCCESS,2,999.49
0.12,SUCCESS,0,999.49
0.25,SUCCESS,0,999.49
0.0,SUCCESS,16,999.4
0.01,SUCCESS,0,999.41
0.05,SUCCESS,0,999.45
0.1,SUCCESS,2,999.49
0.12,SUCCESS,2,999.49
0.25,SUCCESS,0,999.49
0.0,SUCCESS,13,999.4
0.01,SUCCESS,0,999.41
0.05,SUCCESS,4,999.45
0.1,SUCCESS,0,999.49
0.12,SUCCESS,1,999.49
0.25,SUCCESS,0,999.49
0.0,SUCCESS,12,999.4
0.01,SUCCESS,3,999.41
0.05,TIMEOUT,51,
0.1,SUCCESS,1,999.59
0.12,SUCCESS,1,999.59
0.25,SUCCESS,1,999.59
0.0,SUCCESS,23,999.5
0.01,SUCCESS,1,999.51
0.05,SUCCESS,0,999.55
0.1,SUCCESS,1,999.59
0.12,SUCCESS,2,999.59
0.25,SUCCESS,1,999.59
0.0,SUCCESS,13,999.5
0.01,SUCCESS,1,999.51
0.05,SUCCESS,2,999.55
0.1,SUCCESS,0,999.59
0.12,SUCCESS,5,999.59
0.25,TIMEOUT,51,
0.0,SUCCESS,25,999.9
0.01,SUCCESS,0,999.91
0.05,SUCCESS,0,999.95
0.1,SUCCESS,1,999.99
0.12,SUCCESS,1,999.99
0.25,SUCCESS,3,999.99
0.0,SUCCESS,20,999.9
0.01,SUCCESS,1,999.91
0.05,SUCCESS,2,999.95
0.1,SUCCESS,0,999.99
0.12,SUCCESS,1,999.99
0.25,SUCCESS,1,999.99
